,Rating,Artist,Album,Date,,,,,,,,
13228,6.5,Companion,Companion,2/15/2013,,,,,,,,
13229,6.5,Qluster,Lauschen,2/15/2013,,,,,,,,
13230,6.7,Mark Kozelek,Live at Phoenix Public House Melbourne/Like Rats,2/19/2013,,,,,,,,
13231,5.9,Autechre,Exai,2/19/2013,,,,,,,,
13232,5.2,STRFKR,Miracle Mile,2/18/2013,,,,,,,,
13233,6.6,Endless Boogie,Long Island,2/18/2013,,,,,,,,
13234,7.5,Moon B,Moon B,2/18/2013,,,,,,,,
13235,7,"Bonnie ""Prince"" Billy / Dawn McCarthy",What the Brothers Sang,2/20/2013,,,,,,,,
13236,6.3,Johnny Marr,The Messenger,2/20/2013,,,,,,,,
13237,7.7,Dur-Dur Band,Vol. 5,2/19/2013,,,,,,,,
13238,6,Psychic Ills,One Track Mind,2/19/2013,,,,,,,,
13239,7,Inc.,no world,2/19/2013,,,,,,,,
13240,8,Portal,Vexovoid,2/21/2013,,,,,,,,
13241,7.2,AraabMuzik,For Professional Use Only,2/21/2013,,,,,,,,
13242,5.9,Feeding People,Island Universe,2/20/2013,,,,,,,,
13243,7.4,Eat Skull,III,2/20/2013,,,,,,,,
13244,7.2,Pusha T,Wrath of Caine,2/20/2013,,,,,,,,
13245,7.5,Matmos,The Marriage of True Minds,2/22/2013,,,,,,,,
13246,5.6,Jamie Lidell,Jamie Lidell,2/22/2013,,,,,,,,
13247,6.1,The Howling Hex,The Best of the Howling Hex,2/21/2013,,,,,,,,
13248,7.8,Maxmillion Dunbar,House of Woo,2/21/2013,,,,,,,,
13249,7.1,Waka Flocka Flame,DuFlocka Rant 2,2/21/2013,,,,,,,,
13250,7.8,Mount Moriah,Miracle Temple,2/25/2013,,,,,,,,
13251,6.9,Atoms for Peace,AMOK,2/25/2013,,,,,,,,
13252,7.4,Black Twig Pickers,Rough Carpenters,2/22/2013,,,,,,,,
13253,6.3,Serengeti,Saal,2/22/2013,,,,,,,,
13254,7.4,Flume,Flume,2/22/2013,,,,,,,,
13255,7.4,Prurient,Through the Window,2/26/2013,,,,,,,,
13256,8.5,Autre Ne Veut,Anxiety,2/26/2013,,,,,,,,
13257,4.6,Dog Bite,Velvet Changes,2/25/2013,,,,,,,,
13258,7.4,Darkthrone,The Underground Resistance,2/25/2013,,,,,,,,
13259,6.9,Curren$y,New Jet City,2/25/2013,,,,,,,,
13260,6.3,Kavinsky,Outrun,2/27/2013,,,,,,,,
13261,8,Doldrums,Lesser Evil,2/27/2013,,,,,,,,
13262,6.4,Destruction Unit,Void,2/26/2013,,,,,,,,
13263,7.7,Dan Friel,Total Folklore,2/26/2013,,,,,,,,
13264,5.8,Shout Out Louds,Optica,2/26/2013,,,,,,,,
13265,8,Kevin Gates,The Luca Brasi Story,2/28/2013,,,,,,,,
13266,7.6,Mogwai,Les Revenants,2/28/2013,,,,,,,,
13267,6,Benjamin Damage,Heliosphere,2/27/2013,,,,,,,,
13268,4.7,VietNam,An A.merican D.ream,2/27/2013,,,,,,,,
13269,6.5,The Mississippi Sheiks / Blind Willie McTell / Charley Patton,The Complete Recorded Works in Chronological Order Volume 1,2/27/2013,,,,,,,,
13270,6.9,Sally Shapiro,Somewhere Else,3/1/2013,,,,,,,,
13271,6.8,Chelsea Light Moving,Chelsea Light Moving,3/1/2013,,,,,,,,
13272,5.9,PVT,Homosapien,2/28/2013,,,,,,,,
13273,6.5,Parenthetical Girls,Privilege,2/28/2013,,,,,,,,
13274,7.4,Mozart's Sister,Hello EP,2/28/2013,,,,,,,,
13275,7,Gold Panda,Trust EP,3/4/2013,,,,,,,,
13276,8.7,Youth Lagoon,Wondrous Bughouse,3/4/2013,,,,,,,,
13277,5.6,Voigt & Voigt,Die zauberhafte Welt der Anderen,3/1/2013,,,,,,,,
13278,6.3,Lloyd Cole / Hans-Joachim Roedelius,"Selected Studies, Vol. 1",3/1/2013,,,,,,,,
13279,7.1,Cyclopean,Cyclopean EP,3/1/2013,,,,,,,,
13280,8,Shlohmo,Laid Out EP,3/5/2013,,,,,,,,
13281,8.5,Rhye,Woman,3/5/2013,,,,,,,,
13282,6.5,Horna,Askel L\xc3\xa4hemp\xc3\xa4n\xc3\xa4 Saatanaa,3/4/2013,,,,,,,,
13283,6.7,Beno\xc3\xaet Pioulard,Hymnal,3/4/2013,,,,,,,,
13284,7.1,Blue Hawaii,Untogether,3/4/2013,,,,,,,,
13285,7.6,Bilal,A Love Surreal,3/6/2013,,,,,,,,
13286,6.2,How to destroy angels_,Welcome Oblivion,3/6/2013,,,,,,,,
13287,6.7,Karen Gwyer,Needs Continuum,3/5/2013,,,,,,,,
13288,4.8,Javelin,Hi Beams,3/5/2013,,,,,,,,
13289,6.8,Josh Ritter,The Beast in Its Tracks,3/5/2013,,,,,,,,
13290,6.6,Mister Lies,Mowgli,3/7/2013,,,,,,,,
13291,8.4,Waxahatchee,Cerulean Salt,3/7/2013,,,,,,,,
13292,7.2,Defeated Sanity,Passages Into Deformity,3/6/2013,,,,,,,,
13293,5,Suuns,Images Du Futur,3/6/2013,,,,,,,,
13294,6.2,Antwon,In Dark Denim,3/6/2013,,,,,,,,
13295,6.5,Planningtorock,Misogyny Drop Dead EP,3/8/2013,,,,,,,,
13296,8.2,The Men,New Moon,3/8/2013,,,,,,,,
13297,7.7,Mazes,Ores & Minerals,3/7/2013,,,,,,,,
13298,6.4,Kate Nash,Girl Talk,3/7/2013,,,,,,,,
13299,7.3,Art Department,Social Experiment 003,3/7/2013,,,,,,,,
13300,7.5,Apparat,Krieg und Frieden (Music for Theatre),3/11/2013,,,,,,,,
13301,7.6,David Bowie,The Next Day,3/11/2013,,,,,,,,
13302,6.2,Golden Grrrls,Golden Grrrls,3/8/2013,,,,,,,,
13303,6.4,Deathfix,Deathfix,3/8/2013,,,,,,,,
13304,7.5,Pete Swanson,Punk Authority EP,3/8/2013,,,,,,,,
13305,5.9,Son Volt,Honky Tonk,3/12/2013,,,,,,,,
13306,7.6,Devendra Banhart,Mala,3/12/2013,,,,,,,,
13307,7.7,Toy Love,Toy Love,3/11/2013,,,,,,,,
13308,6.4,Ellen Allien,LISm,3/11/2013,,,,,,,,
13309,5.7,Young Dreams,Between Places,3/11/2013,,,,,,,,
13310,7.5,The Delfonics,Adrian Younge Presents the Delfonics,3/13/2013,,,,,,,,
13311,5.3,Dave Grohl,Sound City: Real to Reel OST,3/13/2013,,,,,,,,
13312,6.9,Batillus,Concrete Sustain,3/12/2013,,,,,,,,
13313,7.1,Bandshell,Caustic View EP,3/12/2013,,,,,,,,
13314,7.3,Boldy James,Grand Quarters,3/12/2013,,,,,,,,
13315,7.2,Black Pus,All My Relations,3/14/2013,,,,,,,,
13316,7.6,Various Artists,Spring Breakers OST,3/14/2013,,,,,,,,
13317,6.6,Carmen Villain,Sleeper,3/13/2013,,,,,,,,
13318,6.3,Rachel Zeffira,The Deserters,3/13/2013,,,,,,,,
13319,6.5,ST 2 Lettaz,The G... The Growth & Development,3/13/2013,,,,,,,,
13320,6.9,Fol Chen,The False Alarms,3/15/2013,,,,,,,,
13321,8,Clinic,Free Reign II,3/15/2013,,,,,,,,
13322,5.9,Various Artists,Who's That Man: A Tribute to Conny Plank,3/14/2013,,,,,,,,
13323,6.2,October Falls,The Plague of a Coming Age,3/14/2013,,,,,,,,
13324,7.4,Helado Negro,Invisible Life,3/14/2013,,,,,,,,
13325,7,Palma Violets,180,3/18/2013,,,,,,,,
13326,8.8,Phosphorescent,Muchacho,3/18/2013,,,,,,,,
13327,7.4,Sannhet,Known Flood,3/15/2013,,,,,,,,
13328,7,Ana\xc3\xafs Mitchell & Jefferson Hamer,Child Ballads,3/15/2013,,,,,,,,
13329,7.2,Colleen Green,Sock it to Me,3/15/2013,,,,,,,,
13330,7,Julian Lynch,Lines,3/19/2013,,,,,,,,
13331,8.4,Justin Timberlake,The 20/20 Experience,3/19/2013,,,,,,,,
13332,7.2,Leven Signs,Hemp Is Here,3/18/2013,,,,,,,,
13333,6.9,Thalia Zedek Band,Via,3/18/2013,,,,,,,,
13334,7.8,Lady Lamb the Beekeeper,Ripely Pine,3/18/2013,,,,,,,,
13335,7.9,Dump,Superpowerless,3/20/2013,,,,,,,,
13336,8,Marnie Stern,The Chronicles of Marnia,3/20/2013,,,,,,,,
13337,8.2,Inter Arma,Sky Burial,3/19/2013,,,,,,,,
13338,7.3,Purling Hiss,Water on Mars,3/19/2013,,,,,,,,
13339,7.5,Deniro Farrar,The Patriarch,3/19/2013,,,,,,,,
13340,8.2,KEN mode,Entrench,3/21/2013,,,,,,,,
13341,7.3,Low,The Invisible Way,3/21/2013,,,,,,,,
13342,6.8,BOAT,Pretend To Be Brave,3/20/2013,,,,,,,,
13343,7,Caitlin Rose,The Stand-In,3/20/2013,,,,,,,,
13344,8,Various Artists,Change the Beat: The Celluloid Records Story 1980 \xe2\x80\x93 1987,3/20/2013,,,,,,,,
13345,8,William Tyler,Impossible Truth,3/22/2013,,,,,,,,
13346,7.6,Suede,Bloodsports,3/22/2013,,,,,,,,
13347,6.5,Girls Names,The New Life,3/21/2013,,,,,,,,
13348,6,Deptford Goth,Life After Defo,3/21/2013,,,,,,,,
13349,7.2,Hit-Boy,Hit-Boy Presents HS87 \xe2\x80\x93 All I've Ever Dreamed Of,3/21/2013,,,,,,,,
13350,7.6,Chvrches,Recover EP,3/25/2013,,,,,,,,
13351,6.1,The Strokes,Comedown Machine,3/25/2013,,,,,,,,
13352,6.8,Oval,Calidost\xc3\xb3pia!,3/22/2013,,,,,,,,
13353,7.4,Ensemble Pearl,Ensemble Pearl,3/22/2013,,,,,,,,
13354,7,Lady,Lady,3/22/2013,,,,,,,,
13355,7.4,Various Artists,20 Jahre Kompakt / Kollektion 1,3/26/2013,,,,,,,,
13356,7.8,Wavves,Afraid of Heights,3/26/2013,,,,,,,,
13357,7.2,Kvelertak,Meir,3/25/2013,,,,,,,,
13358,5.4,Karl Bartos,Off the Record,3/25/2013,,,,,,,,
13359,7.8,Brandt Brauer Frick,Miami,3/25/2013,,,,,,,,
13360,8.1,Blu,NoYork!,3/27/2013,,,,,,,,
13361,8.6,DJ Koze,Amygdala,3/27/2013,,,,,,,,
13362,6.9,Heterotic,Love & Devotion,3/26/2013,,,,,,,,
13363,7.6,Foot Village,Make Memories,3/26/2013,,,,,,,,
13364,7,Blanche Blanche Blanche,Wooden Ball,3/26/2013,,,,,,,,
13365,7.8,Jace Clayton,The Julius Eastman Memory Depot,3/28/2013,,,,,,,,
13366,5,Depeche Mode,Delta Machine,3/28/2013,,,,,,,,
13367,7.6,Call of the Void,Dragged Down a Dead End Path,3/27/2013,,,,,,,,
13368,7.3,Cankun,Culture of Pink,3/27/2013,,,,,,,,
13369,6.8,Edwyn Collins,Understated,3/27/2013,,,,,,,,
13370,8.4,Goldie,The Alchemist: The Best of Goldie 1992-2012,3/29/2013,,,,,,,,
13371,3.9,Lil Wayne,I Am Not a Human Being II,3/29/2013,,,,,,,,
13372,8.3,Sid Hemphill,The Devil's Dream: Alan Lomax's 1942 Library of Congress Recordings,3/28/2013,,,,,,,,
13373,7.4,Lapalux,Nostalchic,3/28/2013,,,,,,,,
13374,6.9,Telekinesis,Dormarion,3/28/2013,,,,,,,,
13375,4.6,Mad Season,Above (Deluxe Edition),4/1/2013,,,,,,,,
13376,7.8,"Tyler, the Creator",Wolf,4/1/2013,,,,,,,,
13377,6.4,Generationals,Heza,3/29/2013,,,,,,,,
13378,6.8,Matt Shadetek,The Empire Never Ended,3/29/2013,,,,,,,,
13379,7.8,Vondelpark,Seabed,3/29/2013,,,,,,,,
13380,4.9,The Black Angels,Indigo Meadow,4/2/2013,,,,,,,,
13381,8.2,Wire,Change Becomes Us,4/2/2013,,,,,,,,
13382,7.3,The Besnard Lakes,"Until In Excess, Imperceptible UFO",4/1/2013,,,,,,,,
13383,6.6,Bleached,Ride Your Heart,4/1/2013,,,,,,,,
13384,8,Hiss Golden Messenger,Haw,4/1/2013,,,,,,,,
13385,5.8,British Sea Power,Machineries of Joy,4/3/2013,,,,,,,,
13386,7.4,Mudhoney,Vanishing Point,4/3/2013,,,,,,,,
13387,7.4,Young Thug,1017 Thug,4/2/2013,,,,,,,,
13388,8.1,Scuba,Update,4/2/2013,,,,,,,,
13389,6.2,Wiley,The Ascent,4/2/2013,,,,,,,,
13390,7.4,Rilo Kiley,rkives,4/4/2013,,,,,,,,
13391,7.8,The Flaming Lips,The Terror,4/4/2013,,,,,,,,
13392,7,Kinski,Cosy Moments,4/3/2013,,,,,,,,
13393,7.6,Fiend,Lil Ghetto Boy,4/3/2013,,,,,,,,
13394,4.9,Stornoway,Tales from Terra Firma,4/3/2013,,,,,,,,
13395,7.2,James Ferraro,Cold,4/5/2013,,,,,,,,
13396,8,Merchandise,Totale Nite,4/5/2013,,,,,,,,
13397,6.9,Alex Calder,Time EP,4/4/2013,,,,,,,,
13398,8,Nails,Abandon All Life,4/4/2013,,,,,,,,
13399,3.2,EmptyMansions,snakes/vultures/sulfate,4/4/2013,,,,,,,,
13400,7.8,Milk Music,Cruise Your Illusion,4/8/2013,,,,,,,,
13401,8.4,The Knife,Shaking the Habitual,4/8/2013,,,,,,,,
13402,7,Caveman,Caveman,4/5/2013,,,,,,,,
13403,8.3,Joe Meek,I Hear a New World,4/5/2013,,,,,,,,
13404,6.8,Charles Bradley,Victim of Love,4/5/2013,,,,,,,,
13405,7.9,Steve Mason,Monkey Minds in the Devil's Time,4/9/2013,,,,,,,,
13406,8,James Blake,Overgrown,4/9/2013,,,,,,,,
13407,6.6,Toxic Holocaust,From the Ashes of Nuclear Destruction,4/8/2013,,,,,,,,
13408,5.1,Black Rebel Motorcycle Club,Specter at the Feast,4/8/2013,,,,,,,,
13409,6.2,IO ECHO,Ministry of Love,4/8/2013,,,,,,,,
13410,8.2,Wolf Eyes,No Answer : Lower Floors,4/10/2013,,,,,,,,
13411,8.5,Kurt Vile,Wakin on a Pretty Daze,4/10/2013,,,,,,,,
13412,6.2,Luxury Liners,They're Flowers,4/9/2013,,,,,,,,
13413,5.5,\xc3\x93lafur Arnalds,Now I Am Winter,4/9/2013,,,,,,,,
13414,7.6,Sepalcure,Make You EP,4/9/2013,,,,,,,,
13415,6.7,Orchestral Manoeuvres in the Dark,English Electric,4/11/2013,,,,,,,,
13416,8,The Postal Service,Give Up,4/11/2013,,,,,,,,
13417,6.5,Born Ruffians,Birthmarks,4/10/2013,,,,,,,,
13418,7.7,White Fence,Cyclops Reap,4/10/2013,,,,,,,,
13419,6.8,Implodes,Recurring Dream,4/10/2013,,,,,,,,
13420,4.7,Various Artists,Way to Blue: The Songs of Nick Drake,4/12/2013,,,,,,,,
13421,6,Morrissey,Kill Uncle,4/12/2013,,,,,,,,
13422,7.2,A Hawk and a Hacksaw,You Have Already Gone To The Other World,4/11/2013,,,,,,,,
13423,7.6,Various Artists,Music For Dancefloors: The KPM Music Library,4/11/2013,,,,,,,,
13424,8.1,Rokia Traor\xc3\xa9,Beautiful Africa,4/11/2013,,,,,,,,
13425,8,Thee Oh Sees,Floating Coffin,4/15/2013,,,,,,,,
13426,6,Yeah Yeah Yeahs,Mosquito,4/15/2013,,,,,,,,
13427,6,Bonobo,The North Borders,4/12/2013,,,,,,,,
13428,7.7,Alpoko Don,The Ol' Soul EP,4/12/2013,,,,,,,,
13429,7,Rainbow Arabia,FM Sushi,4/12/2013,,,,,,,,
13430,8.8,Shuggie Otis,Inspiration Information / Wings of Love,4/16/2013,,,,,,,,
13431,5.7,Major Lazer,Free the Universe,4/16/2013,,,,,,,,
13432,7.9,Cough / Windhand,Reflection of the Negative,4/15/2013,,,,,,,,
13433,5.4,Team Ghost,Rituals,4/15/2013,,,,,,,,
13434,7.2,Solar Bears,Supermigration,4/15/2013,,,,,,,,
13435,6,Art Brut,Top of the Pops,4/17/2013,,,,,,,,
13436,8.7,The Haxan Cloak,Excavation,4/17/2013,,,,,,,,
13437,6.4,Disappears,Kone EP,4/16/2013,,,,,,,,
13438,6.6,Various Artists,New York Renaissance,4/16/2013,,,,,,,,
13439,5,The Thermals,Desperate Ground,4/16/2013,,,,,,,,
13440,5.8,Ghost B.C.,Infestissumam,4/18/2013,,,,,,,,
13441,7.4,Ghostface Killah & Adrian Younge,Twelve Reasons to Die,4/18/2013,,,,,,,,
13442,6.8,Skagos,Anarchic,4/17/2013,,,,,,,,
13443,6.1,Life Coach,Alphawaves,4/17/2013,,,,,,,,
13444,6.4,David Grubbs,The Plain Where the Palace Stood,4/17/2013,,,,,,,,
13445,7.8,Cassie,#RockaByeBaby,4/19/2013,,,,,,,,
13446,6.1,Iron & Wine,Ghost on Ghost,4/19/2013,,,,,,,,
13447,7.5,Snapper,Snapper EP,4/18/2013,,,,,,,,
13448,5.6,Houses,A Quiet Darkness,4/18/2013,,,,,,,,
13449,7.5,Simian Mobile Disco,Live,4/18/2013,,,,,,,,
13450,6.3,The Shouting Matches,Grownass Man,4/22/2013,,,,,,,,
13451,7.5,Phoenix,Bankrupt!,4/22/2013,,,,,,,,
13452,6,Cosmin TRG,Gordian,4/19/2013,,,,,,,,
13453,7.7,VH\xc3\x96L,VH\xc3\x96L,4/19/2013,,,,,,,,
13454,5.5,Meat Puppets,Rat Farm,4/19/2013,,,,,,,,
13455,6.8,Big K.R.I.T.,King Remembered In Time,4/23/2013,,,,,,,,
13456,7,Junip,Junip,4/23/2013,,,,,,,,
13457,7,Bored Nothing,Bored Nothing,4/22/2013,,,,,,,,
13458,6,ADR,Chunky Monkey,4/22/2013,,,,,,,,
13459,6.8,Barn Owl,V,4/22/2013,,,,,,,,
13460,8,No Joy,Wait to Pleasure,4/24/2013,,,,,,,,
13461,5,Snoop Lion,Reincarnated,4/24/2013,,,,,,,,
13462,6.8,Anciients,Heart of Oak,4/23/2013,,,,,,,,
13463,6.1,Blackout Beach,Blues Trip,4/23/2013,,,,,,,,
13464,6.9,The Appleseed Cast,Illumination Ritual,4/23/2013,,,,,,,,
13465,7.8,Young Galaxy,Ultramarine,4/25/2013,,,,,,,,
13466,8.3,Charli XCX,True Romance,4/25/2013,,,,,,,,
13467,7.8,Yellowman,"Young, Gifted & Yellow",4/24/2013,,,,,,,,
13468,6.9,F\xc3\xb6llakzoid,II,4/24/2013,,,,,,,,
13469,7.4,Anika,Anika EP,4/24/2013,,,,,,,,
13470,9.2,Half Japanese,\xc2\xbd Gentlemen / Not Beasts,4/26/2013,,,,,,,,
13471,4.5,M83,Oblivion OST,4/26/2013,,,,,,,,
13472,7.5,Futurebirds,Baba Yaga,4/25/2013,,,,,,,,
13473,7.1,The Boy Least Likely To,The Great Perhaps,4/25/2013,,,,,,,,
13474,7.9,Julia Brown,To Be Close to You,4/25/2013,,,,,,,,
13475,6.5,At the Drive-In,Acrobatic Tenement / Relationship of Command,4/29/2013,,,,,,,,
13476,5.6,Iggy and the Stooges,Ready to Die,4/29/2013,,,,,,,,
13477,7.9,The Heliocentrics,13 Degrees of Reality,4/26/2013,,,,,,,,
13478,8,Woe,Withdrawal,4/26/2013,,,,,,,,
13479,7.5,Coliseum,Sister Faith,4/26/2013,,,,,,,,
13480,7.3,The Album Leaf / Sun Kil Moon,Perils from the Sea,4/30/2013,,,,,,,,
13481,6,!!!,Thr!!!er,4/30/2013,,,,,,,,
13482,4.9,Cayucas,Bigfoot,4/29/2013,,,,,,,,
13483,6.2,Laura Stevenson,Wheel,4/29/2013,,,,,,,,
13484,7.1,Pan American,"Cloud Room, Glass Room",4/29/2013,,,,,,,,
13485,7,Akron/Family,Sub Verses,5/1/2013,,,,,,,,
13486,6.8,Guided By Voices,English Little League,5/1/2013,,,,,,,,
13487,7.5,Pretty & Nice,Golden Rules for Golden People,4/30/2013,,,,,,,,
13488,7.7,Hessian,Man\xc3\xa9garmr,4/30/2013,,,,,,,,
13489,6.8,Wiz Khalifa & Curren$y,Live in Concert,4/30/2013,,,,,,,,
13490,6.5,Melvins,Everybody Loves Sausages,5/2/2013,,,,,,,,
13491,8.4,Mikal Cronin,MCII,5/2/2013,,,,,,,,
13492,7.6,Sandwell District,Fabric 69,5/1/2013,,,,,,,,
13493,7.7,Bone Sickness,Alone in the Grave,5/1/2013,,,,,,,,
13494,6.4,Various Artists,TRAXX: The House That Garage Built,5/1/2013,,,,,,,,
13495,7.6,So So Glos,Blowout,5/3/2013,,,,,,,,
13496,8.3,Deerhunter,Monomania,5/3/2013,,,,,,,,
13497,7.6,Connections,Private Airplane,5/2/2013,,,,,,,,
13498,7.8,Various Artists,Eglo Records Vol. 1,5/2/2013,,,,,,,,
13499,7.7,Ola Podrida,Ghosts Go Blind,5/2/2013,,,,,,,,
13500,7.2,Van Dyke Parks,Songs Cycled,5/6/2013,,,,,,,,
13501,8.7,Savages,Silence Yourself,5/6/2013,,,,,,,,
13502,6.8,Wax Idols,Discipline + Desire,5/3/2013,,,,,,,,
13503,8.1,The Body,"Master, We Perish",5/3/2013,,,,,,,,
13504,6.1,Talib Kweli,Prisoner of Conscious,5/3/2013,,,,,,,,
13505,8.1,Colin Stetson,New History Warfare Vol. 3: To See More Light,5/7/2013,,,,,,,,
13506,8.4,Chance the Rapper,Acid Rap,5/7/2013,,,,,,,,
13507,7.5,Omar S,Thank You for Letting Me Be Myself,5/6/2013,,,,,,,,
13508,6.8,Altar of Plagues,Teethed Glory and Injury,5/6/2013,,,,,,,,
13509,7,Neon Neon,Praxis Makes Perfect,5/6/2013,,,,,,,,
13510,6,Little Boots,Nocturnes,5/8/2013,,,,,,,,
13511,7.7,Primal Scream,More Light,5/8/2013,,,,,,,,
13512,6.3,HOWL,Bloodlines,5/7/2013,,,,,,,,
13513,5.2,Bill Ryder-Jones,A Bad Wind Blows in My Heart,5/7/2013,,,,,,,,
13514,7.5,Co La,Moody Coup,5/7/2013,,,,,,,,
13515,4,Kid Cudi,Indicud,5/9/2013,,,,,,,,
13516,7.8,Justice,Access All Arenas,5/9/2013,,,,,,,,
13517,5.9,Wolf People,Fain,5/8/2013,,,,,,,,
13518,7,Gobby,Fashion Lady,5/8/2013,,,,,,,,
13519,8,David Lang,Death Speaks,5/8/2013,,,,,,,,
13520,6.2,Small Black,Limits of Desire,5/10/2013,,,,,,,,
13521,7.5,She & Him,Volume 3,5/10/2013,,,,,,,,
13522,7,Aosoth,IV: Arrow in Heart,5/9/2013,,,,,,,,
13523,7.3,Zs,Grain,5/9/2013,,,,,,,,
13524,7.2,Beaches,She Beats,5/9/2013,,,,,,,,
13525,7.7,Sam Amidon,Bright Sunny South,5/13/2013,,,,,,,,
13526,9.3,Vampire Weekend,Modern Vampires of the City,5/13/2013,,,,,,,,
13527,7.2,Purson,The Circle and the Blue Door,5/10/2013,,,,,,,,
13528,8,Immolation,Kingdom of Conspiracy,5/10/2013,,,,,,,,
13529,7.5,Pharaohs,Replicant Moods,5/10/2013,,,,,,,,
13530,8.4,R.E.M.,Green: 25th Anniversary Deluxe Edition,5/14/2013,,,,,,,,
13531,6.6,Wild Nothing,Empty Estate EP,5/14/2013,,,,,,,,
13532,7,The Focus Group,The Elektrik Karousel,5/13/2013,,,,,,,,
13533,7.4,Various Artists,Acid: Mysterons Invade the Jackin' Zone,5/13/2013,,,,,,,,
13534,7.1,Tera Melos,X'ed Out,5/13/2013,,,,,,,,
13535,6.2,Bibio,Silver Wilkinson,5/15/2013,,,,,,,,
13536,9,The Breeders,LSXX,5/15/2013,,,,,,,,
13537,7.2,Patrick Vian,Bruits et Temps Analogues,5/14/2013,,,,,,,,
13538,6.8,Uncle Acid and the Deadbeats,Mind Control,5/14/2013,,,,,,,,
13539,7.7,ADULT.,The Way Things Fall,5/14/2013,,,,,,,,
13540,8,Pharmakon,Abandon,5/16/2013,,,,,,,,
13541,6.8,The Fall,Re-Mit,5/16/2013,,,,,,,,
13542,6.5,Sadgiqacea,False Prism,5/15/2013,,,,,,,,
13543,8,Gun Outfit,Hard Coming Down,5/15/2013,,,,,,,,
13544,7.6,Love,Black Beauty,5/15/2013,,,,,,,,
13545,6.7,Mark Lanegan & Duke Garwood,Black Pudding,5/17/2013,,,,,,,,
13546,4,Various Artists,The Great Gatsby OST,5/17/2013,,,,,,,,
13547,7,John Grant,Pale Green Ghosts,5/16/2013,,,,,,,,
13548,7.8,Slava,Raw Solutions,5/16/2013,,,,,,,,
13549,7.7,Dungeonesse,Dungeonesse,5/16/2013,,,,,,,,
13550,7.4,Laura Mvula,Sing to the Moon,5/20/2013,,,,,,,,
13551,8.8,Daft Punk,Random Access Memories,5/20/2013,,,,,,,,
13552,7,Various Artists,Tectonic Plates Vol. 4,5/17/2013,,,,,,,,
13553,7.5,Cathedral,The Last Spire,5/17/2013,,,,,,,,
13554,7.4,V\xc3\xa5r,No One Dances Quite Like My Brothers,5/17/2013,,,,,,,,
13555,7.2,Laurel Halo,Behind the Green Door EP,5/21/2013,,,,,,,,
13556,8.4,The National,Trouble Will Find Me,5/21/2013,,,,,,,,
13557,6.2,Sq\xc3\xbcrl,Sq\xc3\xbcrl EP,5/20/2013,,,,,,,,
13558,8.3,Daniel Menche,Marriage of Metals / Vilke,5/20/2013,,,,,,,,
13559,7.6,Scout Niblett,It's Up to Emma,5/20/2013,,,,,,,,
13560,7.4,Songs,Ohia: Hecla & Griper EP,5/22/2013,,,,,,,,
13561,8.2,Majical Cloudz,Impersonator,5/22/2013,,,,,,,,
13562,7.3,Secret Circuit,Tactile Galactics,5/21/2013,,,,,,,,
13563,7.1,Shannon and the Clams,Dreams in the Rat House,5/21/2013,,,,,,,,
13564,6.1,Survival,Survival,5/21/2013,,,,,,,,
13565,7.6,Club 8,Above the City,5/23/2013,,,,,,,,
13566,8.4,Dirty Beaches,Drifters / Love Is the Devil,5/23/2013,,,,,,,,
13567,7.4,Octo Octa,Between Two Selves,5/22/2013,,,,,,,,
13568,6,MS MR,Secondhand Rapture,5/22/2013,,,,,,,,
13569,7.7,Tree,Sunday School II: When Church Lets Out,5/22/2013,,,,,,,,
13570,7,Pure X,Crawling Up the Stairs,5/24/2013,,,,,,,,
13571,8.9,Four Tet,Rounds,5/24/2013,,,,,,,,
13572,6.6,The Source Family,The Source Family,5/23/2013,,,,,,,,
13573,6,Kisses,Kids in L.A.,5/23/2013,,,,,,,,
13574,7.7,Glenn Jones,My Garden State,5/23/2013,,,,,,,,
13575,7.9,The Pastels,Slow Summits,5/28/2013,,,,,,,,
13576,8.6,Baths,Obsidian,5/28/2013,,,,,,,,
13577,7.8,Xenia Rubinos,Magic Trix,5/24/2013,,,,,,,,
13578,6.1,Dean Blunt,The Redeemer,5/24/2013,,,,,,,,
13579,7,Saturday Looks Good to Me,One Kiss Ends It All,5/24/2013,,,,,,,,
13580,6.7,CocoRosie,Tales of a GrassWidow,5/29/2013,,,,,,,,
13581,6.9,The-Dream,IV Play,5/29/2013,,,,,,,,
13582,7.6,Black Host,Life in the Sugar Candle Mines,5/28/2013,,,,,,,,
13583,5.5,When Saints Go Machine,Infinity Pool,5/28/2013,,,,,,,,
13584,8.2,Kingdom,Vertical XL EP,5/28/2013,,,,,,,,
13585,4.9,Rivers Cuomo / Scott Murphy,Scott & Rivers,5/30/2013,,,,,,,,
13586,7,Kylesa,Ultraviolet,5/30/2013,,,,,,,,
13587,7.7,Mount Kimbie,Cold Spring Fault Less Youth,5/29/2013,,,,,,,,
13588,6.6,Still Corners,Strange Pleasures,5/29/2013,,,,,,,,
13589,8.4,King Tuff,Was Dead,5/29/2013,,,,,,,,
13590,6.7,Tricky,False Idols,5/31/2013,,,,,,,,
13591,8.3,Various Artists,After Dark 2,5/31/2013,,,,,,,,
13592,6.7,Human Eye,4: Into Unknown,5/30/2013,,,,,,,,
13593,8,Agrimonia,Rites of Separation,5/30/2013,,,,,,,,
13594,7.8,Eluvium,Nightmare Ending,5/30/2013,,,,,,,,
